type,business_id,name,city,stars,review_count,categories,open
business,OHsuvX4rmhnPvvRBb-QK7A,Baguette Cafe,Las Vegas,4.5,515,[Food:Breakfast & Brunch:Coffee & Tea:Sandwiches:Restaurants],TRUE
business,M2SjLXsuAy5RNKwxaA5E1g,House of Blues,Las Vegas,3.5,510,[Arts & Entertainment:Music Venues:Restaurants:Hotels:Event Planning & Services:Hotels & Travel:American (New):Nightlife],TRUE
business,qLa_684GMvVfR4WNHshQSA,Fogo de Cḥo Brazilian Steakhouse,Las Vegas,4.5,508,[Steakhouses:Seafood:Restaurants:Brazilian],TRUE
business,zNzJkzZxPTeTbRIRfeU9_Q,Rise & Shine,Las Vegas,4,504,[Breakfast & Brunch:Steakhouses:American (Traditional):Restaurants],TRUE
business,k8bSp5BfCNCKqTXcKALXtw,Stripburger,Las Vegas,4,504,[Burgers:Restaurants],TRUE
business,UpMR63WZgIn8VDKnYpDwXA,Cafe Bellagio,Las Vegas,3,501,[American (Traditional):American (New):Cafes:Restaurants],TRUE
business,Lp-A-JNRUUH72uou5-pMtQ,Lola's,Las Vegas,4,498,[Cajun/Creole:Restaurants],TRUE
business,5FLRsYrT6w2VSDvQDhphXg,Fiamma Trattoria & Bar,Las Vegas,4,496,[Wine Bars:Bars:Restaurants:Nightlife:Italian],TRUE
business,Lq6CDJ2yHmMs4N7jscQhHQ,RA Sushi Bar Restaurant,Las Vegas,3.5,495,[Sushi Bars:Japanese:Restaurants],TRUE
business,NxsCqQCpofRx08m535JYIA,Comme ��a,Las Vegas,3.5,493,[French:Restaurants],TRUE
business,npfVfumxVAkQNYpY1fSvew,Steak 'n Shake,Las Vegas,3.5,493,[Burgers:Fast Food:Restaurants],TRUE
business,fwcoLKfZYMH6nZbAaeD6sw,Society Cafe Encore,Las Vegas,4,492,[American (New):Restaurants],TRUE
business,3w5gd4EuSc75UKYMJiNUPA,Aureole,Las Vegas,4,489,[Seafood:American (Traditional):Restaurants],TRUE
business,GGyHZtnAA5LBgouB-32ARA,Echo & Rig,Las Vegas,4,489,[Steakhouses:Restaurants],TRUE
business,bqYrEwL5xjqv0u8XAij--Q,Tea Station,Las Vegas,3,487,[Food:Coffee & Tea:Taiwanese:Restaurants],TRUE
business,c8Xamwyv5Tyi2VjjyQcwaw,Island Sushi and Grill,Las Vegas,4,485,[Sushi Bars:Hawaiian:Restaurants],TRUE
business,K8dQr_82-DMpDudEv8PDmw,Egg Works,Las Vegas,4.5,485,[Breakfast & Brunch:Restaurants],TRUE
business,D_BMUHbZk67hzRcK3xQQmg,Mount Everest India's Cuisine,Las Vegas,4.5,485,[Indian:Restaurants],TRUE
business,fkVBloMEFJG2HTgeCxeNDg,Black Bear Diner,Las Vegas,4,484,[Breakfast & Brunch:American (Traditional):Diners:Restaurants],TRUE
business,84bLhe1aibxNmogtqSO4rA,Blue Martini,Las Vegas,3.5,484,[Bars:American (New):Nightlife:Lounges:Restaurants],TRUE
business,pD7NzevYc6HhYu13wCxiiw,Cr̻pe Expectations,Las Vegas,4.5,484,[Breakfast & Brunch:Creperies:Restaurants],TRUE
business,nREHMbIzWdfWtOh4l1bT3g,Golden Corral,Las Vegas,3,482,[Buffets:Restaurants],TRUE
business,pwF_phwjD1ZHsY1xC9H7mA,Sunrise Coffee,Las Vegas,4.5,481,[Food:Tea Rooms:Coffee & Tea:Vegan:Restaurants],TRUE
business,1bJjWGYip-V2PGj4VIwbiQ,Battista's Hole In the Wall,Las Vegas,3.5,475,[Restaurants:Italian],TRUE
business,ZxmKA8b7njab1DNzCEU4Ow,Sushi Kaya,Las Vegas,3.5,475,[Sushi Bars:Japanese:Restaurants],TRUE
business,jmgKs7CTqSWWwJnFnPIf4A,R�_ R��,Las Vegas,4,469,[Pubs:Irish:Nightlife:Bars:Restaurants],TRUE
business,KwLfgeylp9d8zY3KacREiw,Komol Restaurant,Las Vegas,4,468,[Vegetarian:Thai:Vegan:Restaurants],TRUE
business,xxOQ7h6s3InV8o8DOVHlMA,Island Style,Las Vegas,4.5,467,[Korean:Asian Fusion:Hawaiian:Restaurants],TRUE
business,V9euJerhCkh7PXKjtsE2rQ,Payard P̢tisserie & Bistro,Las Vegas,4,464,[French:Restaurants],TRUE
business,N8cJk5s9yW3fLeJyHQeRAA,Strip N Dip Chicken Strips,Las Vegas,4.5,462,[American (Traditional):Fast Food:Comfort Food:Restaurants],TRUE
business,a4cMKOjdVLTmJNhRl6-17g,Lemongrass,Las Vegas,3.5,461,[Thai:Restaurants],TRUE
business,rMSje59v2QY82OBvE1zBuA,Original Lindo Michoacan,Las Vegas,4,460,[Mexican:Restaurants],TRUE
business,LXrq0Fw6MCz70KMA928ldQ,Herbs & Rye,Las Vegas,4,460,[Tapas Bars:Restaurants:Italian],TRUE
business,M3sHcgWd1gqw5c3L8QnAHQ,Lobster Me - Miracle Mile Shops,Las Vegas,3.5,460,[Seafood:Restaurants],TRUE
business,HpaYCM_NCauI72LLXxC6SA,Yonaka Modern Japanese,Las Vegas,4.5,460,[Sushi Bars:Japanese:Restaurants],TRUE
business,23SJEjfyU5gxY2chAKhgcw,Orchids Garden Chinese Restaurant,Las Vegas,3.5,459,[Dim Sum:Chinese:Restaurants],TRUE
business,IyCwqORkMSmK4mAgAFHgnA,Firefly on Paradise,Las Vegas,4.5,455,[Tapas/Small Plates:Tapas Bars:Restaurants],TRUE
business,tI3J5jomrBs--n7r92186g,Ping Pang Pong,Las Vegas,3.5,452,[Dim Sum:Chinese:Restaurants],TRUE
business,bCRrLdBLel3y73tA8w6C3Q,Beijing Noodle No. 9,Las Vegas,2.5,449,[Chinese:Restaurants],TRUE
business,ADTZPVMIYJN0jAvvHxcBMw,Buldogis,Las Vegas,4.5,449,[Korean:Hot Dogs:Asian Fusion:Restaurants],TRUE
business,_zrSQdISpB_qry9tb098rw,Rao's,Las Vegas,3.5,448,[Restaurants:Italian],TRUE
business,xnRljkaR6zaVTpLYolQteg,BURGER BRASSERIE,Las Vegas,3.5,446,[American (Traditional):Restaurants],TRUE
business,eoDEx1GGQA0CBDhy2ql_Kw,Omelet House,Las Vegas,4,445,[Breakfast & Brunch:American (Traditional):Restaurants],TRUE
business,PiV7phVMf7glDpH_J630Ow,The Boiling Crab,Las Vegas,4,445,[Seafood:Cajun/Creole:Restaurants],TRUE
business,GJp4zTQPPsCEkUitopGfAQ,Stack Restaurant & Bar,Las Vegas,4,444,[Steakhouses:Seafood:American (New):Restaurants],TRUE
business,kKcniirsMqUd_x0pZEGcWA,T&T - Tacos and Tequila,Las Vegas,3.5,444,[Mexican:Restaurants],TRUE
business,_fn0UIgqzCtxXcmHRi8FOw,Encore Beach Club,Las Vegas,4,443,[Restaurants],TRUE
business,z67yrh03lRSANrpPsRcTfw,Grimaldi's Pizzeria,Las Vegas,4,441,[Pizza:Restaurants],TRUE
business,G6mZKMiDqHDgH92IOg9QhQ,Soyo Korean Barstaurant,Las Vegas,4,441,[Korean:Barbeque:Restaurants],TRUE
business,PNThcRNEFI3azvfhvhd_KA,I Love Burgers,Las Vegas,3,438,[Burgers:American (New):Restaurants],TRUE
business,rP76z9iDOFczywAiee-l7A,Red Square Restaurant & Vodka Lounge,Las Vegas,4,434,[Bars:American (Traditional):Cocktail Bars:Nightlife:Steakhouses:Restaurants],TRUE
business,bGj9djLAHjNR55OXsIDrAg,ARIA Cafe,Las Vegas,2.5,434,[Breakfast & Brunch:American (New):Cafes:Restaurants],TRUE
business,QozXMHqNzkVutP-FhcP30w,Table 10,Las Vegas,3.5,433,[Cajun/Creole:American (New):Restaurants],TRUE
business,#NAME?,Thai Style Noodle House,Las Vegas,4,431,[Thai:Vegetarian:Restaurants],TRUE
business,Bt7lGzIlPGc13iCXoc-TIw,Prime,Las Vegas,4,430,[Bars:Steakhouses:Nightlife:Restaurants],TRUE
business,_45p8kOA__aNycVVe-n-KA,Planet Dailies,Las Vegas,3,429,[American (Traditional):Restaurants],TRUE
business,_xmJB767rROtAy6XepMlkQ,The Buffet at Treasure Island,Las Vegas,2.5,429,[Buffets:Restaurants],TRUE
business,EolW2H_wkpYwWbBURN_4gQ,Heart Attack Grill,Las Vegas,3,428,[Burgers:American (Traditional):Restaurants],TRUE
business,k-D2NUfaUbuQzPaMXniXcA,The Pub at Monte Carlo,Las Vegas,3,425,[Pubs:Bars:American (Traditional):Nightlife:Restaurants],TRUE
business,aYAlzKHwXQn6JNLweRnZjQ,Nacho Daddy,Las Vegas,3.5,424,[Breakfast & Brunch:American (New):Mexican:Restaurants],TRUE
business,OeinO4b26UcICbrLxoj3DQ,Triple George Grill,Las Vegas,4,422,[Seafood:Steakhouses:Restaurants],TRUE
business,_tS0YfyPDxOXxrN4Kl2_HQ,Trevi,Las Vegas,3.5,422,[Food:Ice Cream & Frozen Yogurt:Restaurants:Italian],TRUE
business,jh7S78tc9oXCDjAjP_OrLw,India Palace,Las Vegas,4,421,[Indian:Restaurants],TRUE
